Monthly,Open,High,Low,Close,Adj Close,Volume
11/6/1986,7.0625,7.15625,6.875,7,3.282309,17902800
11/7/1986,7,7,6.84375,6.96875,3.267654,6288000
11/10/1986,6.90625,6.90625,6.75,6.78125,3.179736,3060000
11/11/1986,6.78125,6.875,6.78125,6.875,3.223696,1130000
11/12/1986,6.875,6.9375,6.8125,6.875,3.223696,2082800
11/13/1986,6.84375,6.84375,6.8125,6.8125,3.19439,891200
11/14/1986,6.8125,6.875,6.78125,6.875,3.223696,952000
11/17/1986,6.8125,6.84375,6.75,6.75,3.165081,1055200
11/18/1986,6.75,6.78125,6.59375,6.625,3.106471,2426400
11/19/1986,6.625,6.625,6.5,6.53125,3.06251,2026000
11/20/1986,6.59375,6.65625,6.53125,6.625,3.106471,3253600
11/21/1986,6.71875,6.71875,6.65625,6.71875,3.150429,639600
11/24/1986,6.6875,6.71875,6.65625,6.65625,3.121125,660000
11/25/1986,6.65625,6.71875,6.5625,6.6875,3.135775,1080000
11/26/1986,6.6875,6.75,6.5625,6.6875,3.135775,963200
11/28/1986,6.6875,6.71875,6.65625,6.71875,3.150429,521600
12/1/1986,6.6875,6.75,6.6875,6.75,3.165081,662000
12/2/1986,6.75,6.875,6.75,6.875,3.223696,1161200
12/3/1986,6.875,7.0625,6.875,6.96875,3.267654,1210400
12/4/1986,6.96875,6.96875,6.875,6.90625,3.238347,1446400
12/5/1986,6.875,6.90625,6.84375,6.84375,3.209042,737600
12/8/1986,6.8125,6.84375,6.75,6.75,3.165081,703600
12/9/1986,6.75,6.78125,6.75,6.75,3.165081,444800
12/10/1986,6.75,6.78125,6.71875,6.71875,3.150429,902400
12/11/1986,6.75,6.78125,6.59375,6.6875,3.135775,550400
12/12/1986,6.6875,6.75,6.65625,6.75,3.165081,356800
12/15/1986,6.71875,6.75,6.65625,6.71875,3.150429,521200
12/16/1986,6.6875,6.71875,6.625,6.65625,3.121125,835600
12/17/1986,6.65625,6.65625,6.625,6.625,3.106471,803600
